CustomerID,Recency,Number_article,Price,Country
12347.0,1.0,7.0,4310.0,16
12348.0,74.0,4.0,1797.24,12
12349.0,18.0,1.0,1757.5500000000004,18
12350.0,309.0,1.0,334.4000000000001,24
12352.0,35.0,8.0,2506.04,24
12353.0,203.0,1.0,89.0,2
12354.0,231.0,1.0,1079.4,30
12355.0,213.0,1.0,459.4,2
12356.0,22.0,3.0,2811.4300000000007,26
12357.0,32.0,1.0,6207.67,32
12358.0,1.0,2.0,1168.06,1
12359.0,57.0,4.0,6372.58,7
12360.0,51.0,3.0,2662.06,1
12361.0,286.0,1.0,189.9,3
12362.0,2.0,10.0,5226.2300000000005,3
12363.0,109.0,2.0,552.0,36
12364.0,7.0,4.0,1313.1,3
12365.0,290.0,2.0,641.3799999999999,7
12367.0,3.0,1.0,168.89999999999995,9
12370.0,50.0,4.0,3545.6899999999996,7
12371.0,44.0,2.0,1887.96,32
12372.0,71.0,3.0,1298.04,9
12373.0,310.0,1.0,364.6,1
12374.0,24.0,1.0,742.93,1
12375.0,10.0,2.0,457.5,12
12377.0,314.0,2.0,1628.12,32
12378.0,129.0,1.0,4008.62,32
12379.0,81.0,2.0,852.24,3
12380.0,21.0,4.0,2724.8100000000004,3
12381.0,4.0,5.0,1845.31,24
12383.0,184.0,5.0,1850.5600000000002,3
12384.0,28.0,2.0,585.27,32
12386.0,337.0,2.0,401.9,0
12388.0,15.0,6.0,2780.6600000000003,0
12390.0,79.0,1.0,549.84,3
12391.0,21.0,1.0,460.89,7
12393.0,71.0,4.0,1582.6,0
12394.0,63.0,2.0,1272.4800000000002,3
12395.0,18.0,12.0,3018.6299999999997,3
12397.0,35.0,2.0,2409.8999999999996,3
12398.0,45.0,1.0,1635.66,32
12399.0,118.0,4.0,1108.6499999999999,3
12401.0,302.0,1.0,84.3,3
12402.0,322.0,1.0,225.6,3
12403.0,49.0,1.0,427.7,9
12405.0,148.0,1.0,1710.3900000000006,12
12406.0,21.0,2.0,3415.3,9
12407.0,49.0,5.0,1708.12,3
12408.0,32.0,5.0,2888.55,3
12409.0,78.0,3.0,11072.670000000002,32
12410.0,308.0,2.0,693.3299999999998,32
12412.0,74.0,3.0,1226.88,9
12413.0,66.0,3.0,758.0999999999999,13
12414.0,216.0,3.0,562.4100000000001,1
12415.0,23.0,15.0,21939.829999999994,0
12417.0,2.0,9.0,3649.1,3
12418.0,112.0,1.0,668.58,32
12420.0,63.0,1.0,600.3900000000001,7
12421.0,15.0,4.0,807.0400000000001,30
12422.0,95.0,3.0,803.56,0
12423.0,0.0,8.0,1859.31,3
12424.0,162.0,2.0,1760.96,0
12425.0,77.0,1.0,777.1999999999998,26
12426.0,194.0,1.0,582.73,14
12427.0,21.0,3.0,825.8000000000002,14
12428.0,25.0,9.0,7956.46,12
12429.0,8.0,4.0,3750.4,9
12430.0,42.0,1.0,256.4,24
12431.0,35.0,15.0,6487.450000000001,0
12432.0,42.0,5.0,5059.320000000001,24
12433.0,0.0,7.0,13375.869999999999,24
12434.0,84.0,2.0,806.14,0
12435.0,79.0,2.0,7829.890000000001,9
12436.0,99.0,1.0,509.0100000000001,24
12437.0,1.0,18.0,4951.41,13
12438.0,13.0,2.0,2906.85,24
12441.0,366.0,1.0,173.55,13
12442.0,2.0,1.0,172.06,30
12444.0,20.0,5.0,5005.460000000001,24
12445.0,21.0,1.0,133.4,30
12446.0,57.0,1.0,1002.31,27
12447.0,242.0,1.0,476.49,3
12448.0,43.0,1.0,449.45000000000016,30
12449.0,21.0,4.0,4067.29,3
12450.0,155.0,2.0,197.88,30
12451.0,10.0,5.0,9035.52,32
12452.0,16.0,2.0,430.57,32
12453.0,133.0,1.0,707.0899999999998,1
12454.0,55.0,1.0,3528.34,30
12455.0,72.0,6.0,2466.86,7
12456.0,43.0,3.0,3181.04,32
12457.0,65.0,7.0,2363.2299999999996,32
12458.0,70.0,2.0,947.4000000000001,32
12461.0,93.0,2.0,826.88,32
12462.0,18.0,2.0,1189.5900000000001,30
12463.0,52.0,4.0,1344.7800000000002,3
12464.0,9.0,8.0,1212.0500000000002,3
12465.0,16.0,2.0,742.19,3
12468.0,187.0,2.0,729.54,14
12471.0,1.0,30.0,19824.05,14
12472.0,31.0,7.0,6572.11,14
12473.0,28.0,5.0,3938.5499999999997,14
12474.0,16.0,18.0,7375.789999999999,14
12475.0,53.0,1.0,723.3799999999999,14
12476.0,15.0,11.0,6816.419999999998,14
12477.0,22.0,6.0,13219.740000000003,14
12478.0,3.0,1.0,680.9900000000001,15
12479.0,10.0,1.0,527.2,14
12480.0,27.0,4.0,3281.63,14
12481.0,22.0,10.0,5596.320000000001,14
12483.0,16.0,8.0,2484.9800000000005,31
12484.0,32.0,6.0,4541.719999999999,30
12488.0,9.0,3.0,1298.66,13
12489.0,335.0,1.0,334.92999999999995,13
12490.0,4.0,10.0,5417.929999999999,13
12491.0,38.0,1.0,460.4,13
12492.0,62.0,2.0,263.21,14
12493.0,165.0,2.0,433.74,13
12494.0,15.0,7.0,1246.1,13
12497.0,81.0,1.0,1043.1,14
12498.0,20.0,3.0,403.7,14
12500.0,22.0,11.0,4257.82,14
12501.0,336.0,1.0,2169.390000000001,14
12502.0,95.0,5.0,3723.8700000000003,30
12504.0,17.0,2.0,482.04999999999995,14
12506.0,232.0,1.0,73.50000000000001,13
12507.0,133.0,3.0,1304.81,30
12508.0,25.0,2.0,398.27,13
12509.0,283.0,1.0,176.5,13
12510.0,142.0,2.0,982.5700000000002,30
12512.0,65.0,2.0,138.03,17
12513.0,112.0,1.0,612.2900000000002,13
12514.0,266.0,1.0,1017.68,18
12515.0,352.0,1.0,383.7000000000001,18
12516.0,77.0,2.0,1312.06,14
12517.0,27.0,5.0,2502.84,14
12518.0,0.0,5.0,2056.8900000000003,14
12519.0,63.0,1.0,340.8400000000001,14
12520.0,78.0,5.0,2634.26,14
12521.0,142.0,1.0,599.68,14
12522.0,38.0,2.0,192.72,14
12523.0,18.0,11.0,1789.7700000000002,13
12524.0,8.0,8.0,4485.72,14
12526.0,0.0,3.0,1316.6599999999999,14
12527.0,81.0,3.0,348.71000000000004,14
12528.0,8.0,6.0,1933.48,14
12530.0,59.0,4.0,1662.2800000000002,14
12531.0,14.0,1.0,125.22,14
12532.0,29.0,1.0,349.8300000000001,13
12534.0,130.0,1.0,1089.18,14
12535.0,91.0,2.0,716.3499999999999,13
12536.0,42.0,3.0,12601.830000000002,13
12538.0,28.0,1.0,363.95,30
12539.0,21.0,4.0,5568.349999999999,30
12540.0,19.0,17.0,13400.239999999998,30
12541.0,29.0,3.0,981.1800000000001,30
12544.0,35.0,1.0,372.7000000000001,30
12545.0,74.0,2.0,1000.3900000000002,30
12546.0,46.0,2.0,1161.5000000000002,30
12547.0,197.0,2.0,207.8,30
12548.0,165.0,1.0,95.2,30
12550.0,78.0,1.0,964.83,30
12551.0,357.0,1.0,168.0,30
12552.0,38.0,2.0,437.82,18
12553.0,7.0,10.0,3692.28,13
12556.0,49.0,2.0,603.7099999999999,30
12557.0,15.0,5.0,11990.96,30
12558.0,7.0,1.0,269.96000000000004,33
12559.0,310.0,2.0,561.71,14
12560.0,4.0,3.0,2134.0100000000007,14
12561.0,302.0,1.0,238.85,14
12562.0,7.0,7.0,3781.74,13
12564.0,260.0,1.0,456.9,13
12565.0,288.0,1.0,145.92000000000004,28
12566.0,85.0,1.0,351.65,14
12567.0,22.0,10.0,9401.28,13
12569.0,1.0,32.0,4124.69,14
12571.0,39.0,2.0,519.61,13
12572.0,8.0,2.0,1020.4200000000001,14
12573.0,226.0,1.0,160.54,13
12574.0,315.0,1.0,218.45,13
12576.0,35.0,5.0,1315.83,25
12577.0,34.0,3.0,657.8,13
12578.0,20.0,2.0,2794.51,18
12579.0,77.0,1.0,440.42,13
12580.0,246.0,1.0,415.7000000000001,14
12581.0,39.0,1.0,197.71,14
12582.0,238.0,2.0,511.36,12
12583.0,2.0,15.0,7281.380000000001,13
12584.0,3.0,9.0,2338.1499999999996,18
12585.0,233.0,2.0,2040.1,14
12586.0,16.0,1.0,196.94000000000003,18
12587.0,7.0,1.0,144.0,12
12588.0,38.0,1.0,214.9,12
12589.0,28.0,2.0,646.68,13
12590.0,210.0,1.0,523.0,14
12591.0,316.0,1.0,452.85,18
12592.0,91.0,2.0,437.6,14
12593.0,108.0,3.0,418.1,13
12594.0,37.0,10.0,3338.2200000000003,18
12596.0,50.0,2.0,618.27,30
12597.0,18.0,4.0,3811.2200000000003,30
12598.0,9.0,8.0,3023.08,13
12599.0,28.0,7.0,1032.58,13
12600.0,28.0,10.0,2599.04,14
12601.0,189.0,5.0,577.0600000000001,14
12602.0,58.0,1.0,153.12,13
12603.0,21.0,1.0,739.1999999999998,14
12604.0,78.0,2.0,254.17999999999998,13
12607.0,59.0,1.0,1579.51,33
12609.0,77.0,3.0,1126.85,14
12610.0,22.0,5.0,2099.54,18
12611.0,51.0,1.0,1193.32,18
12612.0,73.0,1.0,704.04,14
12613.0,56.0,5.0,3344.38,14
12614.0,277.0,1.0,315.6,14
12615.0,1.0,4.0,2291.19,13
12616.0,94.0,2.0,713.3,13
12617.0,28.0,1.0,355.5300000000001,13
12618.0,21.0,1.0,177.31,18
12619.0,15.0,9.0,3641.2399999999993,14
12620.0,14.0,3.0,1339.4099999999999,13
12621.0,1.0,20.0,13689.670000000002,14
12622.0,231.0,1.0,180.09999999999997,14
12623.0,275.0,1.0,305.1,14
12624.0,105.0,2.0,641.13,13
12625.0,211.0,2.0,2683.8199999999997,14
12626.0,22.0,9.0,6620.480000000001,14
12627.0,10.0,7.0,4478.53,14
12628.0,3.0,3.0,786.46,14
12630.0,9.0,2.0,1270.8800000000003,12
12631.0,56.0,1.0,640.5,12
12633.0,58.0,4.0,2163.98,14
12635.0,89.0,2.0,1689.18,14
12637.0,66.0,8.0,6021.9,13
12638.0,32.0,1.0,671.69,31
12639.0,238.0,1.0,486.1,31
12640.0,23.0,3.0,1174.5800000000002,13
12641.0,114.0,1.0,185.9,31
12642.0,24.0,3.0,1013.2600000000001,14
12643.0,127.0,6.0,3344.6400000000003,13
12644.0,129.0,1.0,477.91,14
12645.0,33.0,4.0,1775.1800000000003,14
12646.0,4.0,2.0,1346.9699999999998,33
12647.0,21.0,12.0,3722.82,14
12648.0,154.0,1.0,318.0499999999999,14
12649.0,106.0,3.0,623.51,14
12650.0,2.0,1.0,314.44,13
12651.0,334.0,1.0,114.0,13
12652.0,330.0,1.0,919.98,13
12653.0,148.0,2.0,2209.85,17
12654.0,10.0,5.0,601.98,14
12656.0,16.0,5.0,4051.1700000000005,13
12657.0,10.0,4.0,1643.1799999999998,13
12658.0,18.0,1.0,686.05,14
12659.0,29.0,1.0,91.68,13
12660.0,10.0,1.0,245.1,13
